feature,importance
vib_car4_sideI_power_250_500_mean,0.0
vib_car4_sideI_power_0_250_max,0.0
vib_car4_sideI_power_0_250_mean,0.0
vib_car4_sideI_total_power_max,0.0
vib_car4_sideI_total_power_mean,0.0
vib_car5_sideI_power_500_750_mean,0.0
vib_car5_sideI_power_250_500_max,0.0
vib_car5_sideI_power_250_500_mean,0.0
vib_car5_sideI_power_0_250_max,0.0
vib_car5_sideI_power_0_250_mean,0.0
vib_car5_sideI_total_power_max,0.0
vib_car5_sideI_total_power_mean,0.0
vib_car5_sideI_std_max,0.0
vib_car5_sideI_std_mean,0.0
vib_car5_sideI_rms_max,0.0
vib_car5_sideI_rms_mean,0.0
vib_car4_sideII_spectral_centroid_max,0.0
vib_car4_sideII_power_500_750_max,0.0
vib_car4_sideII_power_250_500_max,0.0
vib_car4_sideII_power_0_250_max,0.0
shock_sideII_power_2500_3000_mean,0.0
